sid,sim,eid
1924,0.07909400761127472,2124
1924,0.07734379917383194,1982
1924,0.07213796675205231,113
1925,0.1268746703863144,2045
1925,0.11014613509178162,1628
1925,0.1074117124080658,304
1925,0.10714751482009888,1351
1925,0.0989227294921875,106
1926,0.2516028583049774,2150
1926,0.19766148924827576,307
1926,0.18513347208499908,1935
1926,0.128864124417305,989
1926,0.11593099683523178,1325
1927,0.09869612008333206,859
1927,0.08011108636856079,122
1927,0.07296933978796005,460
1927,0.06706377118825912,1107
1927,0.06169953569769859,1372
1928,0.051835350692272186,915
1928,0.043767526745796204,1048
1928,0.04367736726999283,2127
1928,0.043363913893699646,1141
1928,0.04004603624343872,903
1929,0.18343418836593628,649
1929,0.1552881896495819,1838
1929,0.13472743332386017,482
1929,0.13273227214813232,172
1929,0.12955838441848755,155
1930,0.23185092210769653,2010
1930,0.19330830872058868,1677
1930,0.17205867171287537,892
1930,0.14949341118335724,207
1930,0.09328150749206543,1454
1931,0.3415173888206482,1987
1931,0.09040923416614532,939
1931,0.08133003860712051,1446
1931,0.07277517765760422,1436
1931,0.06369985640048981,1899
1932,0.11131829023361206,863
1932,0.09955160319805145,496
1932,0.09858064353466034,505
1932,0.09013328701257706,859
1932,0.0805535838007927,601
1933,0.09852594882249832,2125
1933,0.0771295428276062,176
1933,0.058963239192962646,564
1933,0.054436177015304565,828
1933,0.05417798087000847,2095
1934,0.14716097712516785,1672
1934,0.13760541379451752,725
1934,0.1363903433084488,1448
1934,0.12355026602745056,1695
1934,0.11139188706874847,1831
1935,0.18024873733520508,1926
1935,0.17682859301567078,989
1935,0.17029312252998352,1325
1935,0.15236899256706238,307
1935,0.1353735327720642,2150
1936,0.13987280428409576,376
1936,0.13396477699279785,837
1936,0.10046723484992981,1662
1936,0.09516704082489014,1521
1936,0.09417551010847092,1690
1937,0.14408773183822632,631
1937,0.08741909265518188,706
1937,0.08577312529087067,1467
1937,0.081923708319664,815
1937,0.07895618677139282,1344
1938,0.22717644274234772,1434
1938,0.11791180074214935,113
1938,0.09070336818695068,1027
1938,0.08385857939720154,2124
1938,0.07883015275001526,1300
1939,0.19514255225658417,2084
1939,0.16149519383907318,1810
1939,0.15970420837402344,1301
1939,0.11589124798774719,959
1939,0.09144483506679535,1935
1940,0.22389736771583557,696
1940,0.15851913392543793,2148
1940,0.15290825068950653,1057
1940,0.13492512702941895,1477
1940,0.127658411860466,1590
1941,0.16364894807338715,1134
1941,0.09182275831699371,1296
1941,0.08837205171585083,1105
1941,0.08368968218564987,1983
1941,0.06817265599966049,1168
1942,0.26885005831718445,1919
1942,0.18411549925804138,897
1942,0.17177191376686096,1274
1942,0.13781726360321045,734
1942,0.1367872655391693,1366
1943,0.15892598032951355,2072
1943,0.10540389269590378,382
1943,0.09159114211797714,993
1943,0.08973047137260437,1137
1943,0.08400081843137741,891
1944,0.08317846059799194,706
1944,0.07981181144714355,450
1944,0.06829792261123657,1209
1944,0.06518484652042389,1114
1944,0.06259126961231232,1443
1945,0.16220618784427643,592
